Date and Time	User	Client IP	Category	Status	Verdict	Total Bytes	Requests	Content Type	Malware	Url	User Agent
Jul 23, 2019 8:00:36 AM BST	admiral.uk\ascentsv	10.55.100.140	Technology/Internet	200	Allowed	138	1	No Content Type	No Malware	tcp://climages.cl-uk.com:443/	No User Agent
Jul 23, 2019 8:00:36 AM BST	admiral.uk\ascentsv	10.55.100.140	Technology/Internet	0	No Verdict	0	1	No Content Type	No Malware	ssl://climages.cl-uk.com/	No User Agent
Jul 23, 2019 8:00:36 AM BST	admiral.uk\ascentsv	10.55.100.140	Technology/Internet	200	Allowed	108	1	No Content Type	No Malware	tcp://climages.cl-uk.com:443/	No User Agent
Jul 23, 2019 8:00:36 AM BST	admiral.uk\ascentsv	10.55.100.140	Technology/Internet	0	No Verdict	0	1	No Content Type	No Malware	ssl://climages.cl-uk.com/	No User Agent
Jul 23, 2019 8:00:37 AM BST	No User	10.55.100.140	Financial Services	301	Allowed	406	1	No Content Type	No Malware	http://www.admiral.com/Images/secureEmail/AD-LOZ-202X62.png	mozilla/4.0+(compatible;+msie+5.01;+windows+nt+5.0
Jul 23, 2019 8:00:37 AM BST	admiral.uk\ascentsv	10.55.100.140	Financial Services	200	Allowed	132	1	No Content Type	No Malware	tcp://www.admiral.com:443/	No User Agent
Jul 23, 2019 8:00:37 AM BST	admiral.uk\ascentsv	10.55.100.140	Financial Services	0	No Verdict	0	1	No Content Type	No Malware	ssl://www.admiral.com/	No User Agent
Jul 23, 2019 8:00:37 AM BST	admiral.uk\ascentsv	10.55.100.140	Financial Services	200	Allowed	102	1	No Content Type	No Malware	tcp://www.admiral.com:443/	No User Agent
Jul 23, 2019 8:00:37 AM BST	admiral.uk\ascentsv	10.55.100.140	Financial Services	0	No Verdict	0	1	No Content Type	No Malware	ssl://www.admiral.com/	No User Agent
Jul 23, 2019 8:00:38 AM BST	No User	10.55.100.140	Financial Services	301	Allowed	382	1	No Content Type	No Malware	http://www.admiral.com/Images/secureEmail/img-multiproduct.png	mozilla/4.0+(compatible;+msie+5.01;+windows+nt+5.0
Jul 23, 2019 8:00:38 AM BST	admiral.uk\ascentsv	10.55.100.140	Financial Services	200	Allowed	102	1	No Content Type	No Malware	tcp://www.admiral.com:443/	No User Agent
Jul 23, 2019 8:00:38 AM BST	admiral.uk\ascentsv	10.55.100.140	Financial Services	0	No Verdict	0	1	No Content Type	No Malware	ssl://www.admiral.com/	No User Agent
Jul 23, 2019 8:00:38 AM BST	admiral.uk\ascentsv	10.55.100.140	Financial Services	200	Allowed	102	1	No Content Type	No Malware	tcp://www.admiral.com:443/	No User Agent
Jul 23, 2019 8:00:38 AM BST	admiral.uk\ascentsv	10.55.100.140	Financial Services	0	No Verdict	0	1	No Content Type	No Malware	ssl://www.admiral.com/	No User Agent
Jul 23, 2019 8:00:39 AM BST	admiral.uk\ascentsv	10.55.119.88	Technology/Internet, Web Ads/Analytics	200	Allowed	138	1	No Content Type	No Malware	tcp://settings-win.data.microsoft.com:443/	No User Agent
Jul 23, 2019 8:00:39 AM BST	admiral.uk\ascentsv	10.55.119.88	Technology/Internet, Web Ads/Analytics	200	Allowed	59702	1	application/json	No Malware	https://settings-win.data.microsoft.com/settings/v2.0/utc/app?os=windows&app=utc&appVer=10.0.14393.2665&deviceId=s:8E52AE69-3504-4CDD-B0DC-D31DB5E552EE&sampleId=74676809&deviceClass=Windows.Server&sku=7&osVer=10.0.14393.2791.amd64fre.rs1_release.190205-1511&locale=en-US&ring=Retail&isRetailOS=1	msdw
Jul 23, 2019 8:00:37 AM BST	admiral.uk\adm_hopkink4	10.55.100.178	Technology/Internet	200	Allowed	2752	1	text/html	No Malware	http://test.threatpulse.com/demo.php	mozilla/4.0 (compatible; msie 8.0; windows nt 5.2; trident/4.0)
Jul 23, 2019 8:01:51 AM BST	No User	10.56.100.50	Financial Services	301	Allowed	406	1	No Content Type	No Malware	http://www.admiral.com/Images/secureEmail/AD-LOZ-202X62.png	mozilla/4.0+(compatible;+msie+5.01;+windows+nt+5.0
Jul 23, 2019 8:01:51 AM BST	admiral.uk\ascentsv	10.56.100.50	Financial Services	200	Allowed	132	1	No Content Type	No Malware	tcp://www.admiral.com:443/	No User Agent
